分類(英),分類(中),單字,中譯,詞性,合適的教學法,
Animals & insects,動物/昆蟲,animal,動物,名詞,,
Animals & insects,動物/昆蟲,bear,熊,名詞,,
Animals & insects,動物/昆蟲,bee,蜜蜂,名詞,,
Animals & insects,動物/昆蟲,bird,鳥,名詞,,
Animals & insects,動物/昆蟲,butterfly,蝴蝶,名詞,,
Animals & insects,動物/昆蟲,cat,貓,名詞,,
Animals & insects,動物/昆蟲,chicken,雞,名詞,,
Animals & insects,動物/昆蟲,cow,乳牛,名詞,,
Animals & insects,動物/昆蟲,dog,狗,名詞,,
Animals & insects,動物/昆蟲,duck,鴨子,名詞,,
Animals & insects,動物/昆蟲,elephant,大象,名詞,,
Animals & insects,動物/昆蟲,fish,魚,名詞,,
Animals & insects,動物/昆蟲,frog,青蛙,名詞,,
Animals & insects,動物/昆蟲,hippo,河馬,名詞,,
Animals & insects,動物/昆蟲,horse,馬,名詞,,
Animals & insects,動物/昆蟲,koala,無尾熊,名詞,,
Animals & insects,動物/昆蟲,lion,獅子,名詞,,
Animals & insects,動物/昆蟲,mice,老鼠 (複數),名詞,,
Animals & insects,動物/昆蟲,monkey,猴子,名詞,,
Animals & insects,動物/昆蟲,mouse,老鼠,名詞,,
Animals & insects,動物/昆蟲,panda,大貓熊,名詞,,
Animals & insects,動物/昆蟲,pet,寵物,名詞,,
Animals & insects,動物/昆蟲,pig,豬,名詞,,
Animals & insects,動物/昆蟲,rabbit,兔子,名詞,,
Animals & insects,動物/昆蟲,sheep,綿羊,名詞,,
Animals & insects,動物/昆蟲,snake,蛇,名詞,,
Animals & insects,動物/昆蟲,spider,蜘蛛,名詞,,
Animals & insects,動物/昆蟲,tiger,老虎,名詞,,
Animals & insects,動物/昆蟲,turtle,烏龜,名詞,,
Animals & insects,動物/昆蟲,whale,鯨魚,名詞,,
Animals & insects,動物/昆蟲,zebra,斑馬,名詞,,
Clothing & accessories,衣服/配件,bag,袋子,名詞,,
Clothing & accessories,衣服/配件,cap,棒球帽,名詞,,
Clothing & accessories,衣服/配件,clothes,衣服,名詞,,
Clothing & accessories,衣服/配件,coat,外套,名詞,,
Clothing & accessories,衣服/配件,dress,洋裝,名詞,,
Clothing & accessories,衣服/配件,glasses,眼鏡,名詞,,
